filename, language, Markdown, YAML, XML, Ignore, reStructuredText, Lua, Shell Script, Groovy, CMake, Python, C++, C, XSL, Batch, Msg, HTML, Protocol Buffers, JSON, comment, blank, total
cartographer/.bazelci/presubmit.yml, YAML, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
cartographer/.github/PULL_REQUEST_TEMPLATE.md, Markdown, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
cartographer/.gitignore, Ignore, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
cartographer/.travis.yml, YAML, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 37
cartographer/CHANGELOG.rst, reStructuredText, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
cartographer/CONTRIBUTING.md, Markdown, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
cartographer/README.rst, reStructuredText, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 105
cartographer/RELEASING.rst, reStructuredText, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16
cartographer/azure-pipelines.yml, YAML, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 61
cartographer/bazel/third_party/cairo/cairo-features.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 26, 6, 51
cartographer/bazel/third_party/cairo/config.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 198, 122, 429
cartographer/bazel/third_party/fontconfig/config.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 168, 105, 373
cartographer/bazel/third_party/pixman/config.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 89, 56, 194
cartographer/cartographer/cloud/client/map_builder_stub.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 20, 23, 250
cartographer/cartographer/cloud/client/map_builder_stub.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 15, 11, 76
cartographer/cartographer/cloud/internal/client/pose_graph_stub.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 15, 21, 218
cartographer/cartographer/cloud/internal/client/pose_graph_stub.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 15, 10, 70
cartographer/cartographer/cloud/internal/client/trajectory_builder_stub.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 15, 14, 174
cartographer/cartographer/cloud/internal/client/trajectory_builder_stub.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 15, 11, 90
cartographer/cartographer/cloud/internal/client_server_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 691, 0, 0, 0, 0, 0, 0, 0, 30, 54, 775
cartographer/cartographer/cloud/internal/handlers/add_fixed_frame_pose_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 21, 7, 61
cartographer/cartographer/cloud/internal/handlers/add_fixed_frame_pose_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 15, 8, 47
cartographer/cartographer/cloud/internal/handlers/add_fixed_frame_pose_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 15, 9, 103
cartographer/cartographer/cloud/internal/handlers/add_imu_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 21, 7, 58
cartographer/cartographer/cloud/internal/handlers/add_imu_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/add_imu_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 15, 9, 99
cartographer/cartographer/cloud/internal/handlers/add_landmark_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 21, 7, 59
cartographer/cartographer/cloud/internal/handlers/add_landmark_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 15, 8, 45
cartographer/cartographer/cloud/internal/handlers/add_landmark_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 15, 9, 106
cartographer/cartographer/cloud/internal/handlers/add_odometry_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 21, 7, 59
cartographer/cartographer/cloud/internal/handlers/add_odometry_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 15, 8, 45
cartographer/cartographer/cloud/internal/handlers/add_odometry_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 15, 9, 101
cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 18, 6, 46
cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 15, 8, 46
cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 15, 8, 77
cartographer/cartographer/cloud/internal/handlers/add_sensor_data_batch_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 16, 11, 163
cartographer/cartographer/cloud/internal/handlers/add_sensor_data_batch_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 16, 14, 72
cartographer/cartographer/cloud/internal/handlers/add_sensor_data_handler_base.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 15, 10, 62
